Category,Name,Price,Distance to Nearest Train Station,Ratings,Nearest Train Station,Tags
Breakfast,Yoshinoya,5,0.2,3.8,Osaka Station,"[Japanese Cuisine, Fast Food]"
Breakfast,Doutor Coffee,6,0.3,3.7,Umeda Station,"[Cafe, Coffee Shop]"
Breakfast,West Wood Bakers,12,0.5,4.1,Shinsaibashi Station,"[Bakery, Cafe]"
Breakfast,MANSOU,15,0.4,4.0,Kadoma-minami Station,"[Japanese Cuisine, Other]"
Breakfast,bills Osaka,25,0.1,4.3,Osaka Station,"[Cafe, Western Cuisine]"
Breakfast,Cafe Italian,30,0.3,4.2,Nishikinohama Station,"[Cafe, Italian]"
Breakfast,Swissotel Nankai Osaka Tavola 36,50,0.1,4.5,Namba Station,"[Hotel Restaurant, Buffet]"
Breakfast,Hotel Keihan Kyobashi Grande Lorraine,55,0.2,4.4,Kyobashi Station,"[Hotel Restaurant, Buffet]"
Lunch,Takoyaki Stand,3,0.3,3.9,Dotonbori Station,"[Japanese Cuisine, Takoyaki]"
Lunch,Okonomiyaki Fukutaro,5,0.4,4.0,Namba Station,"[Japanese Cuisine, Okonomiyaki]"
Lunch,Kushikatsu Daruma,10,0.2,4.1,Tsutenkaku Station,"[Japanese Cuisine, Kushikatsu]"
Lunch,Kura Sushi,12,0.5,3.8,Shinsaibashi Station,"[Sushi, Japanese Cuisine]"
Lunch,Ippudo Ramen,20,0.3,4.2,Umeda Station,"[Ramen, Japanese Cuisine]"
Lunch,Mizuno,25,0.4,4.3,Namba Station,"[Japanese Cuisine, Okonomiyaki]"
Lunch,Hajime,120,0.6,4.7,Higobashi Station,"[French, Fine Dining]"
Lunch,La Cime,130,0.5,4.6,Hommachi Station,"[French, Fine Dining]"
Dinner,Osaka Ohsho,7,0.3,3.8,Umeda Station,"[Japanese Cuisine, Gyoza]"
Dinner,Ichiran Ramen,8,0.2,4.0,Dotonbori Station,"[Ramen, Japanese Cuisine]"
Dinner,Chibo,15,0.4,4.1,Namba Station,"[Japanese Cuisine, Okonomiyaki]"
Dinner,Kani Doraku,18,0.3,4.2,Shinsaibashi Station,"[Japanese Cuisine, Seafood]"
Dinner,Zuboraya,30,0.5,4.3,Shinsekai Station,"[Japanese Cuisine, Fugu]"
Dinner,Hariju,35,0.4,4.4,Kitashinchi Station,"[Japanese Cuisine, Yakiniku]"
Dinner,Kashiwaya,150,0.7,4.8,Yodoyabashi Station,"[Japanese Cuisine, Kaiseki]"
Dinner,Fujiya 1935,160,0.6,4.7,Shinsaibashi Station,"[French, Fine Dining]"
Bar,300 Bar,5,0.2,3.7,Namba Station,"[Bar, Budget]"
Bar,Space Station,6,0.3,3.8,Amerikamura Station,"[Bar, Themed]"
Bar,Moonshine,12,0.4,4.0,Shinsaibashi Station,"[Bar, Cocktail Bar]"
Bar,Nayuta,15,0.3,4.1,Kitashinchi Station,"[Bar, Cocktail Bar]"
Bar,Bar Nayuta,25,0.5,4.3,Umeda Station,"[Bar, Cocktail Bar]"
Bar,The Silver Whisky Bar,30,0.4,4.4,Hommachi Station,"[Bar, Whisky Bar]"
Bar,Bar Elixir K,50,0.6,4.6,Kitashinchi Station,"[Bar, Cocktail Bar]"
Bar,Bar Osaka,55,0.5,4.5,Umeda Station,"[Bar, Cocktail Bar]"
